supplier_sap_name;Supplier_ID;Main_Point_of _Contact;Main_HACAT;Responsible_Buyer;Preferred_for_HACAT;available_for_gpe_code;Preferred_for_COUNTRY
Ketchum Maslov LLC;2325656;anna.gorbel@maslov.agency;MK1015;Mikhailina Tatiana;MK1015 - COMMUNICATION AGENCIES PUBLIC RELATIONS AND PUBLIC AFFAIRS SERVICES,MK1012 - CREATIVE AGENCIES SERVICES (STRATEGY, CREATION AND ORIGINATION FOR TRADITIONAL AND DIGITAL),MK4001 - NON-PRINTED PROMOTIONAL & EDUCATION ITEMS;RU;RU-RUSSIA
FireBox Production;2305123;petr@firebox.pro;;;MK1004 - COPYRIGHT & USAGE RIGHTS BUYING;KZ,RU,UZ;KZ-KAZAKHSTAN
ANO Metabolic Center;2319891;;;;[];RU;[]
JSC Mari El-Pharmacy;2317160;korneva@ortat.ru;CD4003;Pakalo Grigroriy;CD4003 - PACKAGING SERVICES;RU;RU-RUSSIA
Intermark Group Inc. Company;2107400;R.Matyash@intermarkrelocation.com;CS2009;Fridrikh Maria;CS2009 - TRAVEL AGENCY,CS2017 - DOMESTIC & INTERNATIONAL EMPLOYEE RELOCATION SERVICES;RU;RU-RUSSIA
LLC VAC Tsaritsynskaya Yarmarka;2288493;;;;[];RU;[]
Manpower Training Center Ltd.;2323123;;CS2014;Fridrikh Maria;CS2014 - LEARNING DESIGN, ADMINISTRATION & FACILITATION;RU;RU-RUSSIA
MEDEXPOSERVICE LLC;2327670;;;;[];RU;[]
Kemerovo Regional Wall-wide;2239656;;;;[];RU;[]
Rigla Ltd.;2047562;;;;[];RU;[]
UP Novamedika;2155628;vladimir.golovko@novamedika.com;RD1050;Pakalo Grigroriy;CD5002 - SUBCONTRACTED DISTRIBUTION SERVICES FOR FINISHED GOODS,RD1050 - CLINICAL TRIAL DISTRIBUTION;RU;RU-RUSSIA
Assistant, OOO;2237430;;;;[];RU;[]
CRO LLC RODVK;2309067;;;;[];RU;[]
National Association of Experts in;2327078;;;;[];RU;[]
OSG Records Management Center LLC;2196578;a.kapitonov@osgrm.ru;CS5035;Yaremenko Natalia;CS5035 - RECORD MANAGEMENT SERVICES;RU;RU-RUSSIA
LLC RUSSIAN ASSOCIATION;2329706;;;;[];RU;[]
Teller LLC;2325462;alla@teller.studio;MK1013;Mikhailina Tatiana;MK1012 - CREATIVE AGENCIES SERVICES (STRATEGY, CREATION AND ORIGINATION FOR TRADITIONAL AND DIGITAL),MK1013 - DIGITAL MARKETING SERVICES,MK1014 - PRODUCTION AND ADAPTATION FOR TRADITIONAL (TV, RADIO, OOH, PRINT AND DIGITAL);RU;RU-RUSSIA
Julius Meinl Russland Ltd.;2283860;o.kalinkina@meinl-coffee.ru;CS5004;Yaremenko Natalia;CS5004 - OFFICE PRODUCTS,CS5005 - INTERNAL FOOD SERVICES;RU;RU-RUSSIA
ARS LLC;2318625;jsabadash@pharmrussia.com;RD1034;Pakalo Grigroriy;RD1034 - REGULATORY SERVICES OPERATIONS,CS4002 - SOFTWARE ON PREMISE;BY,RU;RU-RUSSIA
Union of Medical Workers of St. Petersburg and S Z region;2297263;;;;[];RU;[]
Asonova Dorina;2230696;;;;[];RU;[]
Daten Leben LLC;2327857;;CS5035;Yaremenko Natalia;CS5035 - RECORD MANAGEMENT SERVICES;KZ,RU;KZ-KAZAKHSTAN,RU-RUSSIA
PricewaterhouseCoopers Consul LLC;2298824;;CS2014;Fridrikh Maria;[];RU;[]
Lugaru Ltd.;2309613;;;;[];RU;[]
LLC CDK PR Bureau;2313357;;;;[];RU;[]
IBOE Skin and allergic diseases;2314839;;;;[];RU;[]
Med Congress LLC;2323125;;;;[];RU;[]
UFK in g. Moscow (FSAU NMIC Zdorov;2196042;info@nczd.ru;RD1030;Pakalo Grigroriy;RD1030 - MARKETED PRODUCT LAB DIAGNOSTICS,RD1041 - CENTRAL LABS & BIOREPOSITORIES;RU;RU-RUSSIA,KZ-KAZAKHSTAN
MBK LLC;2308985;;;;[];RU;[]
Intensive-Marketing LLC;2291348;fedorova.o@in10sive.ru;;;CS4004 - APPLICATIONS - IT RECURRING SERVICES;RU;RU-RUSSIA
VF Plaza-Expo LLC;2326903;;;;[];RU;[]
BGP Lithigation LLC;2271903;;CS6003;Yaremenko Natalia;CS6003 - LEGAL CONSULTING SERVICES;RU;RU-RUSSIA
Integral-Electron LLC;2213263;daria.tsvetkova@integral-ct.com;RD1033;Pakalo Grigroriy;RD1050 - CLINICAL TRIAL DISTRIBUTION,RD1033 - CLINICAL ANCILLARY SUPPLIES AND DEVICES;RU;RU-RUSSIA
LLC OP Elite Security;2111342;igor.rostovtsev@eshc.ru;CS5008;Yaremenko Natalia;CS5008 - SECURITY MANNED GUARDING AND RECEPTION SERVICES;RU;RU-RUSSIA
St. Petersburg NOE Center for the Study of Tick-borne;2262599;;;;[];RU;[]
Intersol East LLC;2313873;kazakova@socialist.pro;MK1015;Mikhailina Tatiana;MK1015 - COMMUNICATION AGENCIES PUBLIC RELATIONS AND PUBLIC AFFAIRS SERVICES;RU;RU-RUSSIA
ALFAMED LLC;2306362;;;;[];RU;[]
ООО ФАКТОР РОСТА;2333430;;;;[];RU;[]
ООО Фонд Нашего Будущего;2333457;;;;[];RU;[]
UTRACE LLC;2332570;signatkin@navicons.ru;CS4004;Sviridova Irina;CS4004 - APPLICATIONS - IT RECURRING SERVICES,MK3001 - MARKET RESEARCH SECONDARY (MARKET DATA AND SYNDICATED REPORTS);KZ,RU;RU-RUSSIA
JSC Pharmstandard Ufa vitaminny;2263995;ianzemlianskaia@pharmstd.ru;CD4008;Pakalo Grigroriy;CD4005 - QUALITY CONTROL SERVICES,MC3009 - WASTE MANAGEMENT,CD4008 - FINISHED PRODUCT TOLL,CD5003 - DOMESTIC TRANSPORTATION;RU;RU-RUSSIA
Vidox LLC;2060682;;;;[];RU;[]
Medial Ltd.;2297684;;;;[];RU;[]
Association of Hematologists;2331230;;;;[];RU;[]
Ural Press LLC Subscription;2287189;e_palekhina@ural-press.ru;CS5033;Yaremenko Natalia;CS5033 - SCIENTIFIC - SUBSCRIPTION, DATABASES, E-CONTENT, BOOKS AND GENERAL DOCS,CS5034 - NON SCIENTIFIC - SUBSCRIPTION, DATABASES, E-CONTENT, BOOKS AND GENERAL DOCS;RU;RU-RUSSIA
IP Talalaev Mikhail Alexandrovich;2331934;mihel.msk@gmail.com;CS5040;Yaremenko Natalia;CS5040 - SECURITY SYSTEMS AND EQUIPMENT;RU;RU-RUSSIA
ICIL Soft LLC;2326993;pavel.bazlov@icl-services.com;CS4004;Sviridova Irina;CS4004 - APPLICATIONS - IT RECURRING SERVICES,CS4005 - APPLICATIONS - IT SERVICES FOR PROJECTS,CS4010 - INFRASTRUCTURE - IT RECURRING SERVICES,CS4011 - INFRASTRUCTURE - IT SERVICES FOR PROJECTS,CS4002 - SOFTWARE ON PREMISE;RU;RU-RUSSIA
ANO Scientific Practical Center;2327183;;;;[];RU;[]
Petro-Travel Tourist LLC;2079472;;;;[];RU;[]
Non-profit organization of Russia;2106406;;;;[];RU;[]
Espreso Ltd.;2258576;;MK1015;Mikhailina Tatiana;CS2014 - LEARNING DESIGN, ADMINISTRATION & FACILITATION,MK1012 - CREATIVE AGENCIES SERVICES (STRATEGY, CREATION AND ORIGINATION FOR TRADITIONAL AND DIGITAL),MK1013 - DIGITAL MARKETING SERVICES,MK1015 - COMMUNICATION AGENCIES PUBLIC RELATIONS AND PUBLIC AFFAIRS SERVICES;RU;RU-RUSSIA
Anikina Maria;2326178;;;;[];RU;[]
Online Market Intelligence LLC;2285939;itrenda@omirussia.ru;MK3002;Mikhailina Tatiana;MK3002 - MARKET RESEARCH PRIMARY (AD HOC STUDIES);RU;RU-RUSSIA
Translation Management Technologies Ltd.;2304895;s.sergienko@awatera.com;CS5036;Yaremenko Natalia;CS5036 - TRANSLATION;RU;RU-RUSSIA
Pharmaceutical Center Znanie LLC;2323723;ekaterina.trubina@ru.pharma.global;MK5005;Mikhailina Tatiana;MK2008 - EXTERNAL EVENTS - DIGITAL PROVIDERS,MK5005 - MEDICAL COMMUNICATION;RU;RU-RUSSIA
MAR Consult LLC;2303531;novikov@marconsult.ru;MK3002;Mikhailina Tatiana;MK3002 - MARKET RESEARCH PRIMARY (AD HOC STUDIES),MK3001 - MARKET RESEARCH SECONDARY (MARKET DATA AND SYNDICATED REPORTS);RU;RU-RUSSIA
All-Russian National Union;2078670;;;;[];RU;[]
Dial Plus LLC;2309333;;;;[];RU;[]
Ageev Aleksandr Sergeevich;2316058;alexander.panov@bgplaw.com;CS6003;Yaremenko Natalia;CS6003 - LEGAL CONSULTING SERVICES;RU;RU-RUSSIA
International Business Center LLC;2150839;;;;[];RU;[]
JSC Xailos;2039479;;;;[];RU;[]
VIT Pharma LLC;2297599;dmitriy.klimchuk@witpharma.com;MK6003;Mikhailina Tatiana;MK6003 - MARKET ACCESS, PRICING & HEALTH ECONOMICS,MK3001 - MARKET RESEARCH SECONDARY (MARKET DATA AND SYNDICATED REPORTS);RU;RU-RUSSIA
Federal State Institution TsNIIOIZ of the Ministry of Health of Russia;2306055;;;;[];RU;[]
NRRO Support and Development;2246990;;;;[];RU;[]
Unistaff Peyrol Company LLC;2300342;J.Mukhina@unistaff.ru;CS6006;Fridrikh Maria;CS6006 - OUTSOURCED / SHARED SERVICES;RU;RU-RUSSIA
Expo Press Ltd.;2284838;;;;[];RU;[]
APTEKA LLC - A.V.E;2226000;;;;[];RU;[]
IP Kusainov A.A.;2322684;;CS6003;Yaremenko Natalia;[];KZ,RU;[]
Independent Laboratory LLC;2045826;iriznik@invitro.ru;MK3009;Mikhailina Tatiana;RD1041 - CENTRAL LABS & BIOREPOSITORIES,MK3009 - PATIENT SUPPORT PROGRAM PSP: PATIENTS CALL CENTERS, NURSES, EDUCATORS, SERVICE,TRANSACTIONAL PLATFORMS AND CO-PAY PROGRAMS,MK5003 - MEDICAL OPERATIONS SERVICES,RD1030 - MARKETED PRODUCT LAB DIAGNOSTICS,RD1033 - CLINICAL ANCILLARY SUPPLIES AND DEVICES;RU;RU-RUSSIA
Association of Young Medical;2314438;;;;[];RU;[]
LLC OMNI;2314170;;;;[];RU;[]
"JSC ""Freight Link""";2102867;;;;[];RU;[]
Association of Nephrologists;2293902;;;;[];RU;[]
SSSIFR LLC;2198778;;;;[];RU;[]
UP Novamedika, RB;2279449;vladimir.golovko@novamedika.com;RD2002;Pakalo Grigroriy;RD1035 - REGULATORY PRODUCT LIFE MAINTENANCE;BY,RU;BY-BELARUS
All-Russian Union of Public;2232568;;;;[];RU;[]
Volkova Inna Nikolaevna;2316010;;;;[];RU;[]
OMD Novus Ltd.;2326647;Maria.Khizhina@group-omd.com;MK1005;Mikhailina Tatiana;MK1005 - MEDIA BUYING AGENCY, MEDIA CONSULTANCY & MEDIA AUDIT FEES,MK1006 - MEDIA BUY TV,MK1017 - MEDIA BUY ONLINE/DIGITAL,MK1018 - MEDIA BUY PRINT & CONSUMER PROMOTIONS;RU;RU-RUSSIA
DT-Global Business Consulting GmbH;2188204;;;;[];RU;[]
All-Russian Public Organization;2072326;;;;[];RU;[]
Intelligent Programs Ltd.;2247700;skazin.kirill@ips-safety.com;CS5008;Yaremenko Natalia;CS5008 - SECURITY MANNED GUARDING AND RECEPTION SERVICES;RU;RU-RUSSIA
RIA Media Sphere LLC;2329333;;;;[];RU;[]
ANO DPO Center for Advanced Training;2288007;evd@hta-rus.ru;MK6003;Mikhailina Tatiana;MK6003 - MARKET ACCESS, PRICING & HEALTH ECONOMICS;RU;RU-RUSSIA
Center for Pharmacoeconomic Research Ltd.;2045622;;MK6003;Mikhailina Tatiana;MK6003 - MARKET ACCESS, PRICING & HEALTH ECONOMICS;RU;RU-RUSSIA
Complex Solutions LLC;2112454;;;;[];RU;[]
McKangn-Ericson Worldwide LLC;2320576;;MK1012;Mikhailina Tatiana;MK1012 - CREATIVE AGENCIES SERVICES (STRATEGY, CREATION AND ORIGINATION FOR TRADITIONAL AND DIGITAL),MK1013 - DIGITAL MARKETING SERVICES,MK1014 - PRODUCTION AND ADAPTATION FOR TRADITIONAL (TV, RADIO, OOH, PRINT AND DIGITAL);RU;RU-RUSSIA
Ankor regions, ZAO;2314193;;;;[];RU;[]
Association of pharmaceutical;2261911;;;;[];GE,RU;[]
Med Web LLC;2304983;;;;[];RU;[]
Apteka Service Plus LLC;2241275;;;;[];RU;[]
Askirko Pavel;2320964;;;;[];RU;[]
LLC Pi. Ar.- Technologies;2268008;;MK1015;Mikhailina Tatiana;MK1015 - COMMUNICATION AGENCIES PUBLIC RELATIONS AND PUBLIC AFFAIRS SERVICES;RU;RU-RUSSIA
KROO ARFFA;2331509;;;;[];RU;[]
MD-Group LLC;2329380;a.katrechko@marketingdivision.com;MK2009;Mikhailina Tatiana;MK2001 - EXTERNAL EVENTS - TECHNICAL PRODUCTION,MK2008 - EXTERNAL EVENTS - DIGITAL PROVIDERS,MK2009 - INTERNAL EVENTS - TECHNICAL PRODUCTION,MK2012 - INTERNAL EVENTS - HOTEL COSTS & CATERING,MK2013 - INTERNAL EVENTS - DIGITAL PROVIDERS,MK2014 - EXTERNAL EVENTS - HOTEL COSTS & CATERING;RU;RU-RUSSIA
ROO Association of Oncologists and Radiotherapists;2333025;;;;[];RU;[]
Credit Information Agency LLC;2080509;bpl@bpl.ru;CS5008;Yaremenko Natalia;CS5008 - SECURITY MANNED GUARDING AND RECEPTION SERVICES,CS5028 - SECURITY INVESTIGATIONS, COUNTERFEIT AND OTHER SECURITY SERVICES;RU;RU-RUSSIA
CJSC Business Intelligence;2302066;gilev@busint.ru;CS5008;Yaremenko Natalia;CS5008 - SECURITY MANNED GUARDING AND RECEPTION SERVICES,CS5028 - SECURITY INVESTIGATIONS, COUNTERFEIT AND OTHER SECURITY SERVICES;RU;RU-RUSSIA
MostService LLC;2299779;;;;[];RU;[]
Association of DPO OCCVMT;2295938;;;;[];RU;[]
IE OGIG North-West;2326690;;;;[];RU;[]
Non-Profit Organization Foundation;2243224;;;;[];RU;[]
LLC MC Navicon;2302879;sokulova@navicons.ru;CS4004;Sviridova Irina;CS4004 - APPLICATIONS - IT RECURRING SERVICES,CS4005 - APPLICATIONS - IT SERVICES FOR PROJECTS,CS4013 - INFRASTRUCTURE AS A SERVICE (IAAS, PAAS, CAAS);RU;RU-RUSSIA
Medakademiya LLC;2317695;;;;[];RU;[]
Atos IT Solutions & Services LLC;2305636;info.it-solutions.ru@atos.net;CS4004;Sviridova Irina;CS4004 - APPLICATIONS - IT RECURRING SERVICES,CS4005 - APPLICATIONS - IT SERVICES FOR PROJECTS;RU;RU-RUSSIA
LLC Berezhnaya apteka Aprel;2301656;;;;[];RU;[]
JSC KPMG;2228850;anna.burdukova@digitalizm.com;CS6004;Yaremenko Natalia;CS6004 - COMPLIANCE AND FISCAL CONSULTING SERVICES;RU;RU-RUSSIA
Liga Trans Logistics LLC;2196843;e.tuzhilkina@ltl-group.ru;CD5003;Pakalo Grigroriy;CD5003 - DOMESTIC TRANSPORTATION;RU;RU-RUSSIA
Congressline Ltd.;2328022;;;;[];RU;[]
Xerox LLC (CIS);2025089;Ivan.Sokolov@xerox.com;CS4012;Sviridova Irina;CS4012 - HARDWARE MAINTENANCE,CS4003 - HARDWARE;RU;RU-RUSSIA
Russian Association;2077595;;;;[];RU;[]
ANKOR FinTech LLC;2299016;y.istomina@ancor.ru;CS2022;Fridrikh Maria;CS2022 - MANAGED SERVICES & ALL PMO (EXCLUDING CAPEX, DIGITAL AND R&D), USING STANDARD EBUY PROCESS,CS6006 - OUTSOURCED / SHARED SERVICES;RU;RU-RUSSIA
Nanolek LLC;2264669;;;;[];RU;[]
MEDINVEST LLC;2198281;tkv@minvest.spb.ru;MK6003;Mikhailina Tatiana;MK3001 - MARKET RESEARCH SECONDARY (MARKET DATA AND SYNDICATED REPORTS),MK6003 - MARKET ACCESS, PRICING & HEALTH ECONOMICS;RU;RU-RUSSIA
MOA Association of Clinical Pharmaco;2306049;;;;[];RU;[]
Hotline City LLC;2313874;hotline@hotline.city;CS5008;Yaremenko Natalia;CS5008 - SECURITY MANNED GUARDING AND RECEPTION SERVICES,CS5028 - SECURITY INVESTIGATIONS, COUNTERFEIT AND OTHER SECURITY SERVICES;RU;RU-RUSSIA
IP Shubin Konstantin Sergeevich;2318919;shubin.ks@gmail.com;CS2014;Fridrikh Maria;[];RU;[]
AIKYUVIA Solutions LLC;2056478;olga.natochina@iqvia.com;MK3001;Mikhailina Tatiana;MK3001 - MARKET RESEARCH SECONDARY (MARKET DATA AND SYNDICATED REPORTS),MK3002 - MARKET RESEARCH PRIMARY (AD HOC STUDIES);RU;RU-RUSSIA
Redday Ltd.;2296470;varvara@redday.ec;MK2003;Mikhailina Tatiana;MK2001 - EXTERNAL EVENTS - TECHNICAL PRODUCTION,MK2008 - EXTERNAL EVENTS - DIGITAL PROVIDERS,MK2009 - INTERNAL EVENTS - TECHNICAL PRODUCTION,MK2012 - INTERNAL EVENTS - HOTEL COSTS & CATERING,MK2013 - INTERNAL EVENTS - DIGITAL PROVIDERS,MK2014 - EXTERNAL EVENTS - HOTEL COSTS & CATERING;RU;RU-RUSSIA
PharmProgress Ltd.;2273434;;;;CD4008 - FINISHED PRODUCT TOLL,CD2003 - PHARMACEUTICAL ACTIVE NON LICENSED,CD4001 - FINISHED PRODUCTS FULL SERVICES,CD4011 - FINISHED PRODUCTS UNDER LICENCE;RU;RU-RUSSIA
EOS Medical Center LLC;2327885;;;;[];RU;[]
CB Richard Ellis LLC;2296159;ekaterina.chichek@core-xp.ru;CS5023;Fridrikh Maria;CS5031 - REAL ESTATE SERVICES,CS5023 - WORKPLACE DESIGN, FIT-OUT AND SERVICES;RU;RU-RUSSIA
Security Option Ltd.;2327983;andrey@variantbezopasnosti.ru;CS5040;Yaremenko Natalia;CS5025 - BUILDING MAINTENANCE FOR TERTIARY SITES,CS5040 - SECURITY SYSTEMS AND EQUIPMENT;RU;RU-RUSSIA
Foundation for the Development of Medical Technologists;2332458;;;;[];RU;[]
Association of Oncologists and Radiotherapists;2332465;;;;[];RU;[]
Expert Center SOUT LLC;2292720;sidorov@esout.ru;CS5008;Yaremenko Natalia;CS5028 - SECURITY INVESTIGATIONS, COUNTERFEIT AND OTHER SECURITY SERVICES;RU;RU-RUSSIA
Modum Lab Ltd.;2317821;ek@modumlab.com;CS2014;Fridrikh Maria;CS2014 - LEARNING DESIGN, ADMINISTRATION & FACILITATION;RU;RU-RUSSIA
INVITRO Holding Standard LLC;2307519;oshvecz@invitro.ru;MK5003;Mikhailina Tatiana;MK3009 - PATIENT SUPPORT PROGRAM PSP: PATIENTS CALL CENTERS, NURSES, EDUCATORS, SERVICE,TRANSACTIONAL PLATFORMS AND CO-PAY PROGRAMS;RU;RU-RUSSIA
SBL-Pharma LLC;2308146;sbl-pharma@sbl-pharma.ru;MK6002;Mikhailina Tatiana;MK6002 - EXTERNAL SALES FORCE;RU;RU-RUSSIA
NEC LLC;2311936;saxarova@eco-nec.com;MC3009;Levin Sergey;MC3009 - WASTE MANAGEMENT;RU;RU-RUSSIA
Agency for the Protection of Intelligence LLC;2035400;;;;[];RU;[]
LLC TK Rusta Broker;2265608;o.anikeeva@logic-link.ru;CD5008;Pakalo Grigroriy;CD5008 - CUSTOM BROKERAGE FEES (FREIGHT),CD5002 - SUBCONTRACTED DISTRIBUTION SERVICES FOR FINISHED GOODS;RU;RU-RUSSIA
Arkova Elena;2296673;;;;[];RU;[]
Foundation for International Innovations;2329145;;;;[];RU;[]
Anchikova Ekaterina;2102959;levakin@apivg.ru;CS5033;Yaremenko Natalia;CS4006 - SOFTWARE MAINTENANCE ON PREMISE,CS5034 - NON SCIENTIFIC - SUBSCRIPTION, DATABASES, E-CONTENT, BOOKS AND GENERAL DOCS;RU;RU-RUSSIA
Orange Business Services LLC;2123738;vera.zhevnina@orange.com;CS4013;Sviridova Irina;CS4010 - INFRASTRUCTURE - IT RECURRING SERVICES,CS4015 - SOFTWARE AS A SERVICE (SAAS),CS4013 - INFRASTRUCTURE AS A SERVICE (IAAS, PAAS, CAAS),CS4016 - TELECOM;RU;RU-RUSSIA
ADECCO GROUP AG;OF0002389;;MC3009;Levin Sergey;;;
ADVERTISING AGENCY RE MEDIA LTD.;2077616;eleeva@ra-remedia.ru;MK4004;Mikhailina Tatiana;;;
AI BI SI NANOTEX LLC;OF0002661;;CS5006;Yaremenko Natalia;;;
AKTSIONERNOE OBSHCHESTVO ANKOR;2230990;rodimushkina@ancor.ru;CS2015;Fridrikh Maria;;;
ALLIANZ SE;2283949;Elena.Musina@zettains.ru;CS2018;Fridrikh Maria;;;
ALLIANZ SE;OF0002689;Elena.Musina@zettains.ru;CS2018;Fridrikh Maria;;;
ALPHA-LAB COMPANY, LLC;OF0001841;;CS5006;Yaremenko Natalia;;;
AM LAW FIRM LLC;2315010;;CS6003;Yaremenko Natalia;;;
ANALYTICAL COMPANY LTD.;2239885;yla@rncph.ru;MK3001;Mikhailina Tatiana;;;
ANTITRUST CONSULTING LLC;2203176;;CS6003;Yaremenko Natalia;;;
AQUAKHROM LLC;OF0002537;;RD2007;Pakalo Grigroriy;;;
AR PACKAGING, JSC;OF0003198;;CD3001;Levin Sergey;;;
AUTOKAR LLC;OF0001012;;MC2002;Levin Sergey;;;
BECTON, DICKINSON AND COMPANY;2307701;;CD3028;Levin Sergey;;;
BELLON;OF0003226;;CS5006;Yaremenko Natalia;;;
BIOCARD LOGISTICS LLC;2286744;;CD5003;Pakalo Grigroriy;;;
BIOMERIE RUS LLC;OF0001616;;RD2002;Pakalo Grigroriy;;;
BOLLORE PARTICIPATIONS;2111857;;MK1013;Mikhailina Tatiana;;;
CAT, OOH;OF0001899;;MC2002;Levin Sergey;;;
CENTER FOR EXEMINATIONS AND TESTS I;2279371;;RD1035;Pakalo Grigroriy;;;
COMPLIANCE AND DEVELOPMENT AGENCY LLC;2255042;bd@complianceagency.org;MK1015;Mikhailina Tatiana;;;
CompressorSpetsMash-57, LLC;OF0003308;;MC2004;Levin Sergey;;;
COMPUTACENTER PLC;11020712;;CS4003;Sviridova Irina;;;
CONTINENT EXPRESS;2325797;;CD5008;Pakalo Grigroriy;;;
Convent, LLC;OF0003134;;MC1033;Levin Sergey;;;
COREX LLC;OF0003289;;CD5006;Pakalo Grigroriy;;;
DESA-PLUS LLC;OF0002269;;MC3007;Levin Sergey;;;
DEUTSCHE POST AG;2024925;;CD5011;Pakalo Grigroriy;;;
DEUTSCHE POST AG;2098833;;CD5003;Pakalo Grigroriy;;;
DEUTSCHE POST AG;2103849;;CD5003;Pakalo Grigroriy;;;
DEUTSCHE POST AG;OF0000298;;CD5011;Pakalo Grigroriy;;;
Diamas Laboratory, LLC;OF0001644;;RD2007;Pakalo Grigroriy;;;
DOMINANTASERVICE;2303079;;CD5002;Pakalo Grigroriy;;;
DONAU CHEMIE AKTIENGESELLSCHAFT;OF0002320;;RD2007;Pakalo Grigroriy;;;
ECOWASTE GROUP;OF0003203;;MC3009;Levin Sergey;;;
ELEKTROSVET, TH LLC;OF0000750;;MC2005;Levin Sergey;;;
ERNST & YOUNG AUDIT & ASSOCIADOS - SROC, S.A.;OF0001720;;CS6002;Yaremenko Natalia;;;
Express Broker, LLC;OF0003186;;CD5008;Pakalo Grigroriy;;;
FARMOBORONA LTD.;2255014;;RD1035;Pakalo Grigroriy;;;
FARMOBORONA LTD.;OF0002029;;RD2019;Pakalo Grigroriy;;;
FBU Rostest-Moscow;197;;MC2002;Levin Sergey;;;
FEDEGARI AUTOCLAVI - S.P.A.;OF0003196;;MC2004;Levin Sergey;;;
Federal Budgetary Institution Tula TsSM;OF0003205;;MC2002;Levin Sergey;;;
"FGUP ""VNIIM  D.I. Mendeleev""";OF0001636;;MC2002;Levin Sergey;;;
FIBA BETEILIGUNGS- UND ANLAGE GMBH;OF0001207;;MC2002;Levin Sergey;;;
FLEET TIME LLC;2226727;;CS5008;Yaremenko Natalia;;;
GALA-TRADE LLC;OF0002609;;RD2002;Pakalo Grigroriy;;;
Garant Med, LLC;OF0003272;;MC3009;Levin Sergey;;;
GAZPROM JSC;OF0000015;;MC3004;Levin Sergey;;;
Glavholod, LLC;OF0002503;;MC2014;Levin Sergey;;;
Gluvex, LLC;OF0003310;;RD2009;Pakalo Grigroriy;;;
GRAND OOO;OF0000110;;CS5032;Yaremenko Natalia;;;
GRAND OOO;OF0000313;;CS5008;Yaremenko Natalia;;;
HEADWAY CONSULT LLC;2285481;;MK3001;Mikhailina Tatiana;;;
HEDVEY COMPANY LLC;2240153;a_chubinidze@hwcompany.ru;MK3001;Mikhailina Tatiana;;;
INDUSTRY-SERVICE TC LLC;OF0002963;;MC2004;Levin Sergey;;;
Ingo Group;2024955;dmitry.berezovsky@ingos.ru;CS6010;Fridrikh Maria;;;
Ingo Group;OF0002105;dmitry.berezovsky@ingos.ru;CS6008;Fridrikh Maria;;;
INTER RAO - Orlovsky Energy Distribution LLC;OF0002293;;MC3001;Levin Sergey;;;
IP CHERNYSHOV ARTEM VYACHESLAVOVICH;2242907;tomyoga@yandex.ru;CS2018;Fridrikh Maria;;;
IP KRASOV ANDREY GEORGIEVICH;OF0000919;;MC2005;Levin Sergey;;;
IRON MOUNTAIN INC;OF0003191;;CS5035;Yaremenko Natalia;;;
ITF MOTORS LLC;2311967;a.deev@ibf-motors.ru;CS2006;Fridrikh Maria;;;
K P M G;2331694;;CS5033;Yaremenko Natalia;;;
KHIM-STAR LLC;OF0003227;;CS5006;Yaremenko Natalia;;;
KOHLBERG AND MUBADALA;OF0001867;;CD3025;Levin Sergey;;;
KOMUS LLC;OF0003295;;CS5004;Yaremenko Natalia;;;
LABORATORY OF TECHNOLOGICAL CLOTHIN;OF0002192;;CS5042;Yaremenko Natalia;;;
LagronMed, LLC;OF0003194;;RD2007;Pakalo Grigroriy;;;
LAVERNA XXI VEK;OF0001112;;RD2022;Pakalo Grigroriy;;;
LGC PROMOCHEM;2096230;;RD2002;Pakalo Grigroriy;;;
Liftremont, LLC;OF0000697;;MC2002;Levin Sergey;;;
LIGAND RESEARCH LLC;2155049;;RD1044;Pakalo Grigroriy;;;
LLC NEVIS MARKETING MEDIA GROUP;2054436;;CD4001;Pakalo Grigroriy;;;
LLC Riviera Legal;2330829;;CS6003;Yaremenko Natalia;;;
Low Energy - OOO Service;OF0002598;;MC2002;Levin Sergey;;;
LUNDA, OOO;OF0003231;;MC2004;Levin Sergey;;;
LycoSvet, LLC;OF0003250;;MC2007;Levin Sergey;;;
Major Cargo Service, LLC;OF0003217;;CD5006;Pakalo Grigroriy;;;
MAJOR ENGINEERING, LLC;OF0003286;;CD6002;Levin Sergey;;;
MAJOR TERMINAL;2157563;;CD5003;Pakalo Grigroriy;;;
MASTERFIBER TSENTR LLC;OF0002542;;MC2014;Levin Sergey;;;
MASTERKLEY LLC;OF0003176;;CD6002;Levin Sergey;;;
MERCK KGAA;OF0003247;;RD2022;Pakalo Grigroriy;;;
METTLER TOLEDO INTERNATIONAL INC;OF0000547;;MC2002;Levin Sergey;;;
MILLAB, OOO;OF0000511;;RD2008;Pakalo Grigroriy;;;
MR OLEG EVGENYEVICH YACHNIK;2104462;;CS6009;Fridrikh Maria;;;
NADIR+, OOH;OF0003059;;MC1009;Levin Sergey;;;
Newest Technologies LS, LLC;OF0002036;;MC2002;Levin Sergey;;;
NPO ECO-INTEKH LLC;OF0002401;;MC2002;Levin Sergey;;;
O PLYUS K-MARKETING PLYUS CONSULTING;2286352;Oleg@okresearch.ru;MK3002;Mikhailina Tatiana;;;
OOO ЭППА европейские консультанты;2273621;olga.khmeleva@eppa.ru;MK6003;Mikhailina Tatiana;;;
Operator-TSRPT, LLC;OF0003169;;MC1025;Levin Sergey;;;
