Event #;Event Name;Creator;Commodity;Type;Items;Base Price;участники;победитель;Winners Price;Column1
32705;Lab. Reagents #16 (05.12.2022);Stanislav Ekhnev;RD2002;English auction;"Precast gels NuPAGE Invitrogen 4-12 % Bis-Tris, 1.0 mm; Membrane (blot): Invitrolon 0.45 μm PVDF, size (8,3×7,3) сm, Invitrolon™ PVDF/Filter Paper Sandwiches; 1.5 mL tubes conical tubes with snap caps, Protein LoBind Tubes; StainEase® Staining Trays; Sample buffer NuPAGE LDS 4× sample buffer; Running buffer NuPAGE MOPS SDS running buffer (20×); Transfer buffer NuPAGE 20× transfer buffer (20×); Albumin solution, 35 %, Fraction V; Molecular weight standard, molecular weights range from 4 to 250 kDa SeeBlue® Plus2 Pre-Stained Standard; Primary antibody, biotinylated anti-human VEGF R2 (KDR) antibody (polyclonal antibody, goat IgG); Alkaline phosphatase Stock solution, alkaline phosphatase-conjugated streptavidin; AP Conjugate Substrate Kit; Sodium azide; Glycerol, 99%; Precast gels Novex рН 3-10 IEF, 1.0 mm, 10 wells; 15 mL tubes conical tubes with snap caps; 50 mL tubes polypropylene conical tubes with screw caps; Anode buffer solution (50×) Novex® IEF Anode Buffer (50X); Cathode buffer solution (10×) Novex® IEF Cathode Buffer pH 3-10 (10X); IEF Marker pI 3-10 Novex® IEF Marker 3-10; Standard IEF Marker pI 7,4 95-100 % рI standard at рН 7.4: myoglobin, horse, lyophilized; Trichloracetic Acid 100% solution, 6.1 N (TCA); Sulfosalicylic Acid (SSA) 20 %; Sodium Phosphate Buffer рН 7.5 20 mM Sodium Phosphate Buffer рН 7.5 for HPCE; Sodium phosphate, dibasic, heptahydrate";;"AppScience; Альгимед, OOO; Лаверна ХХI век; ООО ""Фармреактив""; 	ООО Дельта Ориджин; Реаторг; ТД ""ГАЛА-ТРЕЙД""; 	Химмед";Альгимед, OOO;876,827.7173 RUB;
32485;Lab. Reagents #15 (24.11.2022);Stanislav Ekhnev;RD2002;English auction;"Milliflex-100, 100mL, 0.45μm, white gridded; MILLIFLEX OASIS® R2A low, nutrient media plates, Milliflex Oasis R2A media plates; MILLIFLEX OASIS® Tryptic Soy Media Plate, For detection of aerobic and anaerobic microflora; MILLIFLEX OASIS® Sabouraud Dextrose Media Plate, For detection of yeast and molds";25,000.00 USD;"AppScience; Альгимед, OOO; Лаверна ХХI век; ООО ""Фармреактив""; 	ООО Дельта Ориджин; Реаторг; ТД ""ГАЛА-ТРЕЙД""; 	Химмед";Химмед;122,930.40 RUB;
35383;Реконструкция чистых помещений комнаты отбора проб склада СЛ/ WH clean rooms refurbishment;Sergey Levin;MC1027;RFP;Реконструкция чистых помещений комнаты отбора проб склада СЛ;150,000.00 EUR;"Конвент, ООО; ООО «Тайтега АГ»; ООО «КЛИМАОПРЕМА»; Эталонфарм, ООО; Клин Системс, ООО";ООО «Тайтега АГ»;18,855,960.00 RUB;
31678;Lab. Reagents #13 (25.10.2022);Stanislav Ekhnev;RD2002;English auction;"фосфатно-солевой буферный раствор 10 × C без кальция и магния; полисорбат-20 (твин-20); хромогенный субстрат: раствор ТМБ однокомпонентный, готовый к использованию; карбонатно-бикарбонатный буфер, в капсулах; Диэтаноламин";25,000.00 USD;"AppScience; Альгимед, OOO; Лаверна ХХI век; ООО ""Фармреактив""; 	ООО Дельта Ориджин; Реаторг; ТД ""ГАЛА-ТРЕЙД""; 	Химмед";AppScience;357,360.00 RUB;
31429;Lab. Reagents #11 (12.10.2022);Stanislav Ekhnev;RD2002;English auction;"метиловый оранжевый; натрия ЭДТА 99 %; меди сульфата пентагидрат; раствор алюминия 1 мг/мл";30,000.00 USD;"AppScience; Альгимед, OOO; Лаверна ХХI век; ООО ""Фармреактив""; 	ООО Дельта Ориджин; Реаторг; ТД ""ГАЛА-ТРЕЙД""; 	Химмед";"Химмед; Лаверна ХХI век";11,479.00 RUB;
31336;Lab. Reagents #10 (07.10.2022);Stanislav Ekhnev;RD2002;English auction;"Ezetimibe standard, CAS 163222-33-1; Desfluoro Ezetimibe CAS 302781-98-2; Rosuvastatin calcium SCR CAS 147098-20-2";30,000.00 USD;"AppScience; Альгимед, OOO; Лаверна ХХI век; ООО ""Фармреактив""; 	ООО Дельта Ориджин; Реаторг; ТД ""ГАЛА-ТРЕЙД""; 	Химмед";AppScience;106,128.00 RUB;
31153;Lab. Reagents #9 (29.09.2022);Stanislav Ekhnev;RD2002;English auction;"Раствор анолита Hydranal Coulomat AG-Oven; Стандартный образец воды Hydranal 5% Water Standard KF-Oven; Стандартный образец бычьего сывороточного альбумина (БСА), Bovine Serum Albumin Standard; Вторичные козлиные поликлональные антитела, специфичные к мышиным IgG, конъюгированные со щелочной фосфатазой; Фосфатно-буферный солевой раствор, PBS, рН 7,2; 5% раствор бычьего сывороточного альбумина; Субстрат для окрашивания со щелочной фосфатазой, BCIP/NBT Solution; Десятикратный отмывающий буфер, 10X (ELISA) Plate Wash Buffer; 0,9% раствор натрия хлорида; Натрия дигидрофосфата моногидрат; Динатрия гидрофосфата гептагидрат; L-метионин; 96-луночные планшеты вместимостью 360 мкл Costar EIA/RIA с плоским дном из стирола; Система фильтрации вместимостью 250 мл с полиэфирсульфоновой мембраной (PES) с диаметром пор 0,22 мкм; Хроматографическая колонка Acquity UPLC BEH300 C18, размер 2,1 × 100 мм, заполненная сорбентом с размером частиц 1,7 мкм и диаметром пор 300Å";30,000.00 USD;"AppScience; Альгимед, OOO; Лаверна ХХI век; ООО ""Фармреактив""; 	ООО Дельта Ориджин; Реаторг; ТД ""ГАЛА-ТРЕЙД""; 	Химмед";Альгимед, OOO;101,426.214 RUB;
31111;Lab. Reagents #8 (28.09.2022);Stanislav Ekhnev;RD2002;RFP;"фосфатный буферный раствор 10 х С (ФБР 10 х С) рН = 7,2 без кальция и магния; ";30,000.00 USD;"AppScience; Альгимед, OOO; Лаверна ХХI век; ООО ""Фармреактив""; 	ООО Дельта Ориджин; Реаторг; ТД ""ГАЛА-ТРЕЙД""; 	Химмед";Альгимед, OOO;12,810.8344 RUB;
30985;Lab. Reagents #7 (26.09.2022);Stanislav Ekhnev;RD2002;RFP;Standard solution of 5 anions (sulfate ion 150 mg/L, fluoride ion, 20 mg/L, chloride ion 30 mg/L, phosphate ion 150 mg/L, nitrate ion 100 mg/L);30,000.00 USD;"AppScience; Альгимед, OOO; Лаверна ХХI век; ООО ""Фармреактив""; 	ООО Дельта Ориджин; Реаторг; ТД ""ГАЛА-ТРЕЙД""; 	Химмед";Химмед;24,228.2931 RUB;
30891;Lab. Reagents #7 (21.09.2022);Stanislav Ekhnev;RD2002;RFP;"Standard solution of 6 anions (sulfate ion 150 mg/L, fluoride ion, 20 mg/L, chloride ion 30 mg/L, phosphate ion 150 mg/L, oxalate ion 250 mg/L, nitrate ion 100 mg/L); Standard solution of 5 anions (sulfate ion 150 mg/L, fluoride ion, 20 mg/L, chloride ion 30 mg/L, phosphate ion 150 mg/L, nitrate ion 100 mg/L)";110,000.00 USD;"AppScience; Альгимед, OOO; Лаверна ХХI век; ООО ""Фармреактив""; 	ООО Дельта Ориджин; Реаторг; ТД ""ГАЛА-ТРЕЙД""; 	Химмед";AppScience;39,860.00 RUB;
30886;Lab. Reagents #5 (05.09.2022);Stanislav Ekhnev;RD2002;RFP;Enoxaparin Sodium for Bioassays;110,000.00 USD;"AppScience; Альгимед, OOO; Лаверна ХХI век; ООО ""Фармреактив""; 	ООО Дельта Ориджин; Реаторг; ТД ""ГАЛА-ТРЕЙД""; 	Химмед";Химмед;5,549,928.1619 RUB;
14614;Услуги по обслуживанию зданий, сооружений_Санофи-Авентис Восток Орел/ Building and construction maintenance_Sanofi Orel site ;Sergey Levin;MC2002;RFP;Услуги по обслуживанию зданий, сооружений;7,000,000.00 RUB;"ООО""Мастерфайбр Центр""; ООО «ДАИНЖ»; ЗАО «Европромстрой»; ООО ""Стройэнергомонтаж""; ООО «ПК Габарит +» ";ЗАО «Европромстрой»;6780000 RUB;
30785;Lab. Reagents #6 (15.09.2022);Stanislav Ekhnev;RD2002;RFP;Enoxaparin Sodium for Bioassays (COLD SHIPMENT REQUIRED) Reference standard;110,000.00 USD;"AppScience; Альгимед, OOO; Лаверна ХХI век; ООО ""Фармреактив""; 	ООО Дельта Ориджин; Реаторг; ТД ""ГАЛА-ТРЕЙД""; 	Химмед";AppScience;496,200.00 RUB;
33523;RU_Auction_Car Insurance_2023_2024;Irina Bakhareva;CS6008;English auction;"государственное обязательное страхование для одного авто; Базовая ставка ОСАГО, RUB; Страхование от несчастных случаев (4 места по 10000 USD), RUB; Тариф по КАСКО, %";50,000,000.00 RUB;"Альфа Страхование; ВСК Страховой Дом; Ингосстрах; Сбер Страхование";Ингосстрах;3,948.87 RUB;
30887;RU_RFP_PPE_Orel_ 2022_2025;Irina Bakhareva;CS5041;RFP;"Патрон 3М 6059; Брюки СПЕЦ ут цв. сер-крас-чер. тк. Нортси (96-100/182-188); Обувь мед. женская Oxypas SANDY WHT р.37; Патрон 3M ABE1 6057; Ботинки ""РАНГ Полярис"", цв черн, композит 200 Дж, резина нат.мех, Р45; Куртка ЭДВАНС сер/т.сер/чер Кур 687 (96-100/194-200); Футболка Футболка светло-серая (L); Куртка СПЕЦ ут цв. сер-крас-чер. тк. Нортси (96-100/170-176); Каскетка JSP ХАРДКАП А1+; Комбинезон DuPont ТАЙВЕК CHF5 цв.бел. (S); Комбинезон DuPont ТАЙВЕК CHF5 цв.бел. (M); Костюм ЛЕДИ СПЕЦ цв.сер-крас. тк. смесовая (88-92/170-176); Сабо ЭВА медицинские STEP. Размер 38; Сабо ЭВА медицинские STEP. Размер 36; Сабо ЭВА медицинские STEP. Размер 37; Сабо ЭВА медицинские STEP. Размер 39; Сабо ЭВА медицинские STEP. Размер 40; Сабо ЭВА медицинские STEP. Размер 40; Сабо ЭВА медицинские STEP. Размер 41; Сабо ЭВА медицинские STEP. Размер 42; Сабо ЭВА медицинские STEP. Размер 43; Сабо ЭВА медицинские STEP. Размер 44; Сабо ЭВА медицинские STEP. Размер 45; Сабо ЭВА медицинские STEP. Размер 46; Перчатки Cerva Бантинг Эволюшн, полиэфир, бел, р-р 10; Перчатки Cerva Бантинг Эволюшн, полиэфир, бел, р-р 9; Перчаки Cerva Бантинг Эволюшн, полиэфир, р-р 7; Перчаки Cerva Бантинг Эволюшн, полиэфир, р-р 8; Перчаки Cerva Бантинг Эволюшн, нейлон, цвет черный, частичное ПУ, р-р 10; Перчаки Cerva Бантинг Эволюшн, нейлон, цвет черный, частичное ПУ, р-р 9; Перчаки Cerva Бантинг Эволюшн, нейлон, цвет белый, частичное ПУ, р-р 10; Наушники противошумные 3M Peltor Optime H510P3E405GU крепление на каску; Каска 3М PELTOR G3000  OR цв. оранжевый, пазы для наушников  и щитков; Щиток 3М Peltor V4H, прозрачная линза; Беруши HONEYWELL МАКС 1013046 (200 пар/упак); Брюки ЭДВАНС, сер/т.сер/чер Брю 616 (88-92/194-200); Полумаска фильтрующая Spirotek VS 2200V; Комплект PLUM для чрезвычайных ситуаций; Ботинки ""РАНГ Полярис""; Перчатки ХАКАСЫ ут цв т. сер-мел мт.спилок Тинсулейт покр. частичное (М); Перчатки ХАКАСЫ ут цв т. сер-мел мт.спилок Тинсулейт покр. частичное (L); Перчатки SpiderGrip, бел, р-р 8; Перчатки SpiderGrip, бел, р-р 9; Перчатки SpiderGrip, бел, р-р 10; Брюки CERVA ОЛЬЗА ГОСТ цв. сер. тк. смесовая (96-100/170-176); Брюки CERVA ОЛЬЗА (104-108/170-176); Перчатки ""Хакасы""; Куртка СПЕЦ ут цв. сер-крас-чер. тк. Нортси (96-100/182-188); Куртка СПЕЦ ут цв. сер-крас-чер. тк. Нортси (104-108/182-188); Брюки СПЕЦ ут цв. сер-крас-чер. тк. Нортси (104-108/170-176); Перчатки Анселл Хайфлекс; Ботинки высокие Трейл ВИНТЕР (Р) ут цв. чер. сталь 200Дж ПУ/ТПУ нат. мех (41); Ботинки высокие Трейл ВИНТЕР (Р) ут цв. чер. сталь 200Дж ПУ/ТПУ нат. мех (42); Ботинки высокие Трейл ВИНТЕР (Р) ут цв. чер. сталь 200Дж ПУ/ТПУ нат. мех (43); Ботинки высокие Трейл ВИНТЕР (Р) ут цв. чер. сталь 200Дж ПУ/ТПУ нат. мех (44); Шапка СКЕЙТЕР-3 ут.черная; Брюки СПЕЦ ут цв. сер-крас-чер. тк. Нортси (96-100/170-176) ; Рубашка ПОЛО-К, цв. вас., р-р М";10,000,000.00 RUB;"Восток-Спецодежда ; Восток-Сервис; Меркурий; ТД ТРАКТ; Ай Би Си Нанотекс; Альфа-Лаб; Лаборатория Технологической Одежды; Дарина ; Тракт; Дарина";Восток-Спецодежда;;
25029;RU_RFP_DD tool 2022_2024;Irina Bakhareva;CS5040;RFP;"Пожертвования; Поставщики; Аутсорсинг; Таможня, транспорт; Исследование рынка; Клинические исследования; Услуги по командировкам; Высокорискованные; Низкорискованные; Спонсорство; Стоимость установки; Лицензионный сбор; Автоматизированные проверки; Соблюдение Закона о Персональных Данных";10,000,000.00 RUB;"Directum; Accenture; APEX; COSA; Delloite; Dow Jones; KPMG; Lexis-Nexis; PwC; Refinitiv; Risk Advisory; Steele Diligent; Thompson Reuters; БДО Юникон АО; Интелинфо; Urus consulting";Интелинфо;8700200 RUB;
38247;RU_RFP_Record Management;Irina Bakhareva;CS5035;RFP;"Плата за услуги хранения, короб; Плата за услуги хранения кассет; Хранение массива данных в системе электронного архива, Гб; Пользование электронным архивом, пользователь; Он-лайн система учёта и заказа документов, пользователь; Стандартный архивный короб; Крышка к стандартному коробу; Файловый короб; Штрих-коды для короба, фалового короба, кассеты; Составление описания (короб, файл); Систематизация носителей информации; Упаковка / переупаковка документов за короб ; Упаковка/переупаковка Носителей информации Поклажедателя в файловые короба Поставщика (включена стоимость упаковки в короба при заказе этой услуги); Перевод описания в электронный вид ; Экспертиза ценности, определение сроков хранения документов, за дело; Архивный пеперпле, за дело; Сбор пустого Стандартного короба Поставщика с крышкой/Файловой коробки Поставщика при доставке силами Курьерской службы Поставщика (стоимость данной услуги включается в стоимость услуги по Упаковке/переупаковке Носителей информации в случае одновременного заказа этих двух услуг); Обработка новых носителей информации; Регистрация при изъятии (временное или постоянное), за короб; Регистрация при изъятии Носителей информации (временное или постоянное), за файл; Срочное изъятие Носителей информации в течение 1 часа (выдача курьеру Поклажедателя); Перерегистрация Носителей информации при возврате их в Хранилища, за короб / файл; Поиск документа, за документ ; Копирование документа, за страницу; Подготовка к потоковому сканированию, за страницу; Потоковое сканирование, за страницу; Сканирование документов, за страницу ; Аренда комнаты для работы с документами, за час ; Постоянное изъятие информации, за короб ; Постоянное изъятие информации, за файл ; Безвозвратное изъятие с удалением информации из системы учёта; Обыкновенная доставка вывоз на следующий рабочий день, за поездку; Обыкновенная доставка вывоз на следующий рабочий день, за поездку до 30 км от города; Срочная доставка или вывоз в течение половины рабочего дня, за поездку; Обыкновенная транспортировка в течение половины рабочего дня, за короб / файл / кассету; Срочная транспортировка на следующий рабочий день, за короб / файл / кассету ; Картонный контейнер для конфиденциального уничтожения, за контейнер; Аренда металлического контейнера 240 л, за контейнер; Конфиденциальное уничтожение информации, за кг; Видеозапись процесса уничтожения документов, за запись ";5,600,000.00 RUB;"ООО ОСГ Рекордз Менеджмент Центр; ОРБ; Делис Альянс; ТЭЛОС Архив; Архив-Сервис; Инфолоджистикс; Архивариус";ООО ОСГ Рекордз Менеджмент Центр;5780300 RUB;
32096;RU_Auction_iFM_MSK_2023_2025;Irina Bakhareva;CS5030;English auction;"Уборка офисных и производственных помещений; Техническая эксплуатация и обслуживание Зданий; Уход за растениями и декорациями ; Организация питания; Услуги ресепшн";20,000,000.00 RUB;"iFCM; SOL; FSR; ОМС";iFCM;55,854,611.00 RUB;
45054;Строительно-монтажные работы Санофи Восток/ Building maintenance Sanofi Vostok;Sergey Levin;MC2014;RFP;Строительно-монтажные работы на заводе в г. Орёл;300,000.00 EUR;"ООО""Мастерфайбр Центр""; ООО ""Перспектива""; ЛикоСвет, ООО; РИКС, ООО; Стройотряд 57, ООО";"ООО ""ЛикоСвет""";111,380.00 RUB;
23164;Тендер на поставку угля активного древесного/Activated carbon supply;Sergey Levin;MC3009;English auction;Уголь активный древесный дробленый БАУ-А (ГОСТ6217-74);254,400.00 RUB;"ТЕХВОДПРОЕКТ; ООО ТД ""Уралхимсорб""; ""НПО ""ПОВОЛЖСКИЙ ЗАВОД СОРБЕНТОВ ""ТАТСОРБ""";"ООО ТД ""Уралхимсорб""";254000 RUB;
47134; 2025-27 RU RFP GR CONSULTING;Kseniia Kravtsova;MK6003;RFP;"1.1.	Анализ ситуации и своевременное информирование о развитии нормативного, правового и политического поля в сфере регулирования общих подходов в здравоохранении, в сфере оказания медицинской помощи пациентам с редкими наследственными заболеваниями, а также смежных направлениях (в том числе, но не ограничиваясь, социального сопровождения, систем ранней помощи и др.), имеющих потенциал влияния на деятельность Компании, предоставление рекомендаций по плану действий со стороны Компании, в том числе: анализ рисков и возможностей, карта целевых аудиторий, планов взаимодействия с внешними аудиториями, подготовка сопроводительных материалов для взаимодействия, оценка достигнутых результатов, корректировка планов по итогам взаимодействия.
1.2.	Анализ деятельности и своевременное информирование о существующих и создании новых рабочих групп, комиссий и прочих структур под эгидой ФОИВов, Правительства, Администрации президента, Государственной думы, Совета Федерации и др., деятельность которых направлена на регулирование обращения лекарственных препаратов, включающий информацию о деятельности, персональном составе, уровне, значении принимаемых решений, позициях в отношении редких болезней и регулирования рынка орфанных препаратов, потенциального влияния позиций, принимаемых решений на деятельность Компании и возможного плана взаимодействия со стороны Компании.
1.3.	Анализ формирования бюджета, включая анализ политических установок, экономических и социальных предпосылок, и его исполнения в сфере государственных закупок орфанных препаратов с разбивкой по источникам.
1.4.	Поддержка участия Компании в мероприятиях в виде:
а) подготовки справок, аналитических материалов, презентаций, проектов писем;
б) осуществления анализа принятых решений по результатам проведенных мероприятий;
в) адаптации дорожных карт;
г) адаптации ключевых сообщений для целевых групп;
д) участия в регулярных совещаниях Компании в том числе с представлением экспертизы, материалов (презентационные слайды, пояснительные записки и др. по запросу заказчика, но не более одного документа к одной встрече); 2.1. Анализ текущей политической ситуации и своевременное информирование, включая:
- аналитический обзор разрабатываемых и принятых программных документов
- оценку позиций, мнений со стороны политических лидеров, общественности, представителей экспертного сообщества, групп влияния и интересов в контексте потенциальных рисков и возможностей для формирования дифференцированного подхода к инновационным лекарственным препаратам
2.3. Разработка предложений по дальнейшему совершенствованию нормативного правового поля с целью развития дифференцированного подхода к инновационным лекарственным препаратам на всех этапах их жизненного цикла 
2.4. Разработка карты целевых аудиторий (организации и персоналии), участвующих (или потенциальных для участия) в формировании политики и нормативного правового поля в отношении развития дифференцированного подхода к инновационным лекарственным препаратам на всех этапах их жизненного цикла
2.5. Разработка плана взаимодействия Компании с целевыми аудиториями, указанными в п.2.4 для обсуждения предложений по совершенствованию нормативного правового поля для формирования дифференцированного подхода к инновационным лекарственным препаратам, включающего цели, задачи, ключевые этапы, критерии оценки достижения результатов по каждому этапу плана графика мероприятий.
2.6. Подготовка участия Компании в мероприятиях (не более 5-ти мероприятий в год по усмотрению Заказчика) в соответствии с планом, включая:
- Обоснование участия (задачи, формы участия, целевая аудитория)
- Подготовка ключевых, адаптированных под целевую аудиторию и контекст мероприятия
- Разработка сопроводительных материалов (обоснований, проектов нормативных документов (поправок) и обоснований к ним, презентаций – где применимо)
- Подготовка резюме (результаты и предложения) по итогам участия; 3.1. Анализ ситуации и своевременное информирование о развитии нормативного, правового и политического поля в сфере регулирования общих подходов в здравоохранении, в сфере оказания медицинской помощи населению и пациентам в области иммунопрофилактики, а также смежных направлениях (в том числе, но не ограничиваясь, противодействие растущей угрозе устойчивости к антибактериальным препаратам, формирование приверженности вакцинации и др.), имеющих потенциал влияния на деятельность Компании, предоставление рекомендаций по плану действий со стороны Компании, в том числе: анализ рисков и возможностей, карта целевых аудиторий, планов взаимодействия с внешними аудиториями, подготовка сопроводительных материалов для взаимодействия, оценка достигнутых результатов, корректировка планов по итогам взаимодействия.
3.2. Анализ деятельности и своевременное информирование о существующих и создания новых рабочих групп, комиссий и прочих структур под эгидой ФОИВов, Правительства, Администрации президента, Государственной Думы, Совета Федерации и др., деятельность которых направлена на регулирование обращения лекарственных препаратов и вакцин, включающий информацию о деятельности, персональном составе, уровне, значением принимаемых решений, позициях в отношении иммунопрофилактики и регулирования рынка иммунобиологических препаратов, потенциального влияния позиций, принимаемых решений на деятельность Компании и возможного плана взаимодействия со стороны Компании.
3.3. Анализ формирования бюджета, включая анализ политических установок, экономических и социальных предпосылок, и его исполнения в сфере государственных закупок вакцин с разбивкой по источникам.
3.4. Поддержка участия Компании в мероприятиях в виде:
а) подготовки справок, аналитических материалов, презентаций, проектов писем;
б) осуществления анализа принятых решений по результатам проведенных мероприятий;
в) адаптации дорожных карт;
г) адаптации ключевых сообщений для целевых групп;
д) участия в регулярных совещаниях Компании в том числе с представлением экспертизы, материалов (презентационные слайды, пояснительные записки и др. по запросу заказчика, но не более одного документа к одной встрече на русском и по запросу на английском языке).";30,000,000.00 RUB;"АО Астон Консалтинг; ООО ВОТУМ СЭПАРАТУМ; OOO ЭППА европейские консультанты; АО Альянс Консалтинг";OOO ЭППА европейские консультанты;24560900 RUB;
39631;2024-25 RU MK3009 PSP Lemtrada;Kseniia Kravtsova;MK3009;RFP;"
1.	Организационные услуги и менеджмент

1.1	до начала оказания услуг:

1.1.1	обеспечить доведение до сведения всех лиц, привлеченных исполнителем для оказания услуг, согласованной сторонами информации (по препарату, качеству препарата и фармакобезопасности)
1.1.2	осуществить разработку алгоритма отправки смс участникам программы
1.1.3	осуществить разработку автоматической таблицы ведения участников программы, позволяющей вести учёт участников программы, индивидуальных графиков доступности опций программы для участников программы
1.1.4	осуществить настройку опций личного кабинета под программу таким образом, чтобы врачи имели доступ ко всему функционалу личного кабинета на протяжении всего периода реализации программы в режиме 24/7
1.1.5	подписать договоры с медицинскими офисами в целях реализации программы
1.1.6	организовать информационное сопровождение медицинских офисов в целях реализации программы
1.1.7	осуществить разработку материалов для участников, в том числе в части графического дизайна. 
1.1.8	разработать и согласовать формы информированных согласий для участников программы
1.1.9	разработать и согласовать формы отчетности по программе

2.	Центр обработки звонков 

2.1	организовать круглосуточный ежедневный прием горячей линией звонков от участников программы по выделенному федеральному номеру
2.2	организовать предоставление участникам программы услугу «бесплатный вызов звонящему» круглосуточно и ежедневно
2.3	обеспечить сбор и регистрацию информации по фармакобезопасности, а также отправку форм сообщений о нежелательных явлениях и других данных по безопасности в отдел фармакобезопасности заказчика
2.4	организовать ежедневную круглосуточную работу операторов центра обработки звонков. 
2.5	организовать включение автоответчика-информатора с соответствующим текстовым сообщением, если в момент звонка абонента все операторы центра обработки звонков будут заняты.
2.6	предоставлять обезличенные статистические отчеты о работе центра обработки звонков по запросу заказчика 
2.7	обеспечивать отправку участникам программы текстовых информационных смс-сообщений в рамках программы, объемом не более 210 символов для одного сообщения
2.8	обеспечить не реже одного раза в месяц сверку данных по фармакобезопасности и проведение проверок качества полученной информации на предмет пропущенной информации по безопасности
2.9	Обеспечить прохождение тренингов по фармакобезопасности всеми вовлеченными сотрудниками до начала работы 


3.	Администрирование

3.1	осуществить оказание услуги по проектному сопровождению, состоящей в организации реализации в период действия программы уровня доступности услуг для заказчика и уровня доступности опций программы для участников программы
3.2	Осуществить организацию предоставления услуги личный кабинет для врачей, состоящей в организации доступности функционала указанного сервиса в режиме 24/7 в течение всего срока действия программы
3.3	осуществить оказание услуги по информированию врача о выходе результатов исследований участника программы за пределы референсных значений. Оказание услуги по информированию врача о выходе результатов исследований участника программы за пределы референсных значений осуществляется в следующем порядке: 
1)	исполнитель в течение 24 часов с момента получения результатов лабораторных исследований организует уведомление врача о выходе результатов исследований участника программы за пределы референсных значений путем размещения результатов в личном кабинете врача и направления письма на адрес электронной почты врача, указанный участником программы при обращении за оказанием соответствующих услуг.
2) исполнитель в течение 24 часов с момента получения результатов лабораторных исследований, выходящих за пределы референсных значений, оповещает колл-центр по e-mail, указав в тексте письма ID участника программы, результаты, выходящие за пределы референсных значений и врача, до которого необходимо донести соответствующую информацию.
3) колл-центр в течение 24 часов с момента получения информации от исполнителя, связывается с врачом и передает информацию
3.4	осуществить оказание услуги по информированию заказчика о данных о нежелательных явлениях и других данных по безопасности, полученных от участников программы в ходе реализации программы. Исполнитель в течение 24 часов с момента получения от участников программы в ходе реализации программы данных о нежелательных явлениях и других данных по безопасности, оповещает колл-центр по федеральному номеру или по e-mail 
3.5	Осуществлять координацию оказания услуг в рамках программы:
1)	контроль и координацию работы привлечённых к исполнению лиц во всех регионах
2)	организацию заполнения документов участниками программы в медицинских офисах, контроль корректности заполнения документов участниками программы, а также контроль корректности заполнения предоставляемых врачами документов
3)	сбор и хранение информированных согласий и других документов участников Программы и информированных согласий врачей, а также персональных данных поименованных лиц во всех регионах
4)	подбор и обучение сотрудников, привлечённых к исполнению работ по программе во всех регионах 
5)	при необходимости внутренний аудит работы лиц, привлечённых к исполнению работ по программе во всех регионах

4.	Медицинские услуги

4.1	организовать и обеспечить в объёме, предусмотренном программой, приём биологического материала участников программы, обратившихся за соответствующей услугой, в медицинских офисах, перечень которых согласован с заказчиком, или, при наличии технической возможности, на дому у участников программы при вызове выездной медицинской службы медицинского офиса (служба выезда на дом). Все заявки на прием биологического материала участников программы на дому должны быть предварительно согласованы с заказчиком.
4.2	организовать и обеспечить в объёме, предусмотренном программой, выполнение лабораторных исследований биологического материала каждого участника программы, обратившегося за соответствующей услугой

Требования по процессам Фармакобезопасности
Если в период оказания услуг оператору становятся известны Данные по безопасности, оператор должен передать их заказчику в течение одного (1) рабочего дня с момента, когда ей стали известны эти данные посредством утвержденных инструментов. 
Заказчик подтверждает получение каждого отчета с Данными по безопасности, отправленного оператором. Если оператор не получает такого подтверждения в течение 24 часов, оператор должен повторно отправить данный отчет в вышеуказанные сроки и связаться с заказчиком, чтобы удостовериться в получении информации.
оператор должен действовать в соответствии с требованиями локального законодательства, применимыми в отношении сбора и предоставления Данных по безопасности, а также способствовать заказчику в соблюдении данных требований.  
заказчик имеет право проводить аудиторскую проверку отчетов по безопасности оператора для подтверждения соответствия соглашению по ФБ и действующего законодательства.
система контроля качества оператора, включая ее собственные стандартные операционные процедуры, касающиеся вопросов фармакобезопасности, должны быть рассмотрены и утверждены в письменной форме заказчиком до их внедрения или применения в связи с оказанием услуг. Если после такого рассмотрения заказчик требует, чтобы оператор внес поправки в процедуры для гарантии соответствия применимым законодательным актам и для подтверждения соответствия процедурам заказчика, оператор должен внести изменения в течение четырех (4) недель после получения требования заказчика.
после прохождения обучения в формате «тренируй тренера», проводимого заказчиком, или в ином формате оператор должен обеспечить прохождение тренингов по фармакобезопасности как минимум один раз в год всеми вовлеченными сотрудниками и субподрядчиками, включая, но не ограничиваясь, операторами горячей линии, менеджерами проекта.
сверка данных по ФБ проводится с целью получения гарантии того, что заказчиком были получены все сообщения по безопасности. На регулярной основе оператор составляет и направляет в обезличенном виде заказчику перечень всех данных по безопасности, полученных им в период с момента проведения последней сверки.
Ежемесячно должны проводиться проверки качества: вся полученная информация за месяц по всем каналам (звонки, сообщения  и т.д) проверяется на предмет выпущенной инфо по фармакобезопасности (размер выборки 10 %). В случае не обнаружения выпущенной информации, никаких дополнительных действий не требуется, процедура повторяется на следующий месяц. При обнаружении выпущенной  инфо: выпущенная информация по ФБ передается клиенту в течение 1 рабочего дня, а выборка для последующих проверок качества увеличивается по согласованию с клиентом до нормализации ситуации. ";35,000,000.00 RUB;"АО Астон Консалтинг; ООО КОФАКТОР; ООО Лиганд ресерч; ООО Независимая лаборатория; ООО Олекстра";ООО Независимая лаборатория;34908700 RUB;
